save_bit,acc_launch_flag,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,imut,accXconv,accYconv,accZconv,gyroXconv,gyroYconv,gyroZconv,rollDeg,pitchDeg,rollRate,pitchRate,velo,velo_x,velo_y,velo_z,pos,pres,temp,baro_alt,baro_velo,gps_altitude_feet,gps_speed_kmh,gps_utc_time,gps_dec_longitude,gps_dec_latitude,gps_ns,gps_ew,gll,rms
255,255,4294967.295,-0.004785229266803998,-0.004785229266803998,-0.004785229266803998,-0.06103608758678569,-0.06103608758678569,-0.06103608758678569,65535,65535,65535,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255
255,255,4294967.295,-0.004785229266803998,-0.004785229266803998,-0.004785229266803998,-0.06103608758678569,-0.06103608758678569,-0.06103608758678569,65535,65535,65535,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255
255,255,4294967.295,-0.004785229266803998,-0.004785229266803998,-0.004785229266803998,-0.06103608758678569,-0.06103608758678569,-0.06103608758678569,65535,65535,65535,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255
255,255,4294967.295,-0.004785229266803998,-0.004785229266803998,-0.004785229266803998,-0.06103608758678569,-0.06103608758678569,-0.06103608758678569,65535,65535,65535,65535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255,255,255,255
1,1,0.0,0.04785229266803998,3.153466086823835,9.56088807507439,-0.06103608758678569,-0.24414435034714277,0.06103608758678569,32,8096,32640,0,0.024509932845830917,0.016745805740356445,-0.003841400146484375,-0.003967352211475372,0.05627276003360748,-0.022948961704969406,0.7853981852531433,0.0025010083336383104,-0.003908419515937567,0.05601821839809418,0.0,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.7848828125,34.381534576416016,414.53948974609375,inf,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.128,0.019140917067215994,3.196533150225071,9.532176699473565,0.24414435034714277,-0.24414435034714277,0.0,32,8096,32640,0,-0.004201442003250122,0.05981278419494629,-0.03255271911621094,0.18707560002803802,0.05627276003360748,0.08398504555225372,0.7853981852531433,-0.00042871854384429753,0.18703307211399078,-0.019595544785261154,1.3310372829437256,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.78459375,34.381534576416016,414.5663757324219,0.0013781323796138167,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.256,0.009570458533607997,3.134325169756619,9.56088807507439,0.30518043793392846,-0.30518043793392846,0.06103608758678569,32,8096,32640,0,-0.013771900907158852,-0.002395153045654297,-0.003841400146484375,0.24811169505119324,-0.0047633349895477295,-0.022948961704969406,0.7853981852531433,-0.0014052951009944081,0.24813923239707947,0.012859180569648743,1.3311129808425903,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.783984375,34.37224578857422,414.6117858886719,0.3547668159008026,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.384,0.03828183413443199,3.186962691691463,9.536961928740368,-0.30518043793392846,-0.24414435034714277,0.0,32,8096,32640,0,0.014939475804567337,0.05024242401123047,-0.027767181396484375,-0.24811169505119324,0.05627276003360748,0.08398504555225372,0.7853981852531433,0.0015244351234287024,-0.24796050786972046,-0.019595544785261154,1.3383280038833618,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.783828125,34.376888275146484,414.63250732421875,0.16188620030879974,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.512,0.014355687800411996,3.167821774624247,9.565673304341193,-0.24414435034714277,-0.30518043793392846,0.12207217517357138,32,8096,32640,0,-0.008986671455204487,0.031101465225219727,0.0009441375732421875,-0.18707560002803802,-0.0047633349895477295,0.03808712214231491,0.7853981852531433,-0.0009170070406980813,-0.1870972067117691,-0.030299847945570946,1.3418315649032593,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.785171875,34.381534576416016,414.5126037597656,-0.9367465376853943,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.64,0.04785229266803998,3.182177462424659,9.55131761654078,-0.12207217517357138,-0.42725261310749985,0.18310826276035708,32,8096,32640,0,0.024509932845830917,0.04545712471008301,-0.013411521911621094,-0.06500343978404999,-0.12683549523353577,0.09912320971488953,0.7853981852531433,0.0025010083336383104,-0.06505244970321655,-0.15977692604064941,1.3475639820098877,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.786046875,34.381534576416016,414.430908203125,-0.638246476650238,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.768,-0.014355687800411996,3.191747920958267,9.541747158007173,0.36621652552071415,-0.36621652552071415,0.18310826276035708,32,8096,32640,0,0.008986671455204487,0.05502772331237793,-0.02298259735107422,0.30914777517318726,-0.06579941511154175,0.09912320971488953,0.7853981852531433,0.0009170070406980813,0.30916938185691833,-0.11661790311336517,1.355078101158142,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.78750000000001,34.381534576416016,414.2944030761719,-1.066446304321289,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.896,0.07177843900205998,3.177392233157855,9.556102845807585,-0.18310826276035708,-0.24414435034714277,0.18310826276035708,32,8096,32640,0,0.04843607917428017,0.04067182540893555,-0.008626937866210938,-0.126039519906044,0.05627276003360748,0.09912320971488953,0.7853981852531433,0.004942417144775391,-0.12549643218517303,-0.030299846082925797,1.3598302602767944,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.77990625,34.376888275146484,415.00067138671875,5.517720699310303,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,1,1.024,0.009570458533607997,3.153466086823835,9.56088807507439,-0.06103608758678569,-0.36621652552071415,0.06103608758678569,32,8096,32640,0,-0.013771900907158852,0.016745805740356445,-0.003841400146484375,-0.003967352211475372,-0.06579941511154175,-0.022948961704969406,0.7853981852531433,-0.0014052951009944081,-0.0038791634142398834,-0.030299844220280647,1.3620421886444092,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.783546875,34.376888275146484,414.6583557128906,-2.6743409633636475,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.152,0.043067063401235985,3.2061036087586787,9.541747158007173,0.06103608758678569,-0.24414435034714277,0.06103608758678569,32,8096,32640,0,0.019724704325199127,0.06938338279724121,-0.02298259735107422,0.003967352211475372,0.05627276003360748,-0.022948961704969406,0.7853981852531433,0.0020127221941947937,0.004014779347926378,0.05601821839809418,1.3711087703704834,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.78253125,34.37224578857422,414.748291015625,0.7026194930076599,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.28,0.028711375600823992,3.1295399404898148,9.5752437628748,-0.36621652552071415,-0.30518043793392846,0.06103608758678569,32,8096,32640,0,0.0053690169006586075,-0.007180452346801758,0.010514259338378906,-0.30914777517318726,-0.0047633349895477295,-0.022948961704969406,0.7853981852531433,0.000547858770005405,-0.3091585040092468,0.012859180569648743,1.3696284294128418,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.785875,34.376888275146484,414.4401550292969,-2.4073123931884766,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.408,0.019140917067215994,3.177392233157855,9.541747158007173,0.12207217517357138,-0.30518043793392846,0.06103608758678569,32,8096,32640,0,-0.004201442003250122,0.04067182540893555,-0.02298259735107422,0.06500343978404999,-0.0047633349895477295,-0.022948961704969406,0.7853981852531433,-0.00042871854384429753,0.06501184403896332,0.012859180569648743,1.375626564025879,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.785,34.376888275146484,414.52288818359375,0.6463527083396912,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.536,0.03828183413443199,3.153466086823835,9.541747158007173,-0.42725261310749985,-0.36621652552071415,0.12207217517357138,32,8096,32640,0,0.014939475804567337,0.016745805740356445,-0.02298259735107422,-0.3701838552951813,-0.06579941511154175,0.03808712214231491,0.7853981852531433,0.0015244351234287024,-0.37021371722221375,-0.07345887273550034,1.3788050413131714,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.782671875,34.36759567260742,414.72857666015625,1.6069411039352417,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.664,0.014355687800411996,3.1726070038910508,9.556102845807585,0.24414435034714277,-0.30518043793392846,0.06103608758678569,32,8096,32640,0,-0.008986671455204487,0.03588676452636719,-0.008626937866210938,0.18707560002803802,-0.0047633349895477295,-0.022948961704969406,0.7853981852531433,-0.0009170070406980813,0.1870935708284378,0.012859180569648743,1.383426308631897,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.7820859375,34.36759567260742,414.78338623046875,0.42819973826408386,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.792,0.009570458533607997,3.1726070038910508,9.541747158007173,-0.06103608758678569,-0.30518043793392846,0.12207217517357138,32,8096,32640,0,-0.013771900907158852,0.03588676452636719,-0.02298259735107422,-0.003967352211475372,-0.0047633349895477295,0.03808712214231491,0.7853981852531433,-0.0014052951009944081,-0.004000465851277113,-0.030299847945570946,1.3889490365982056,56994050048.0,3.8300804962549326e-21,-1.4718708097137143e-18,0.0,96.78617187500001,34.376888275146484,414.4122314453125,-2.899646520614624,0.0,0.0,0.0,0.0,0.0,0,0,86,0
