save_bit,acc_launch_flag,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,imut,accXconv,accYconv,accZconv,gyroXconv,gyroYconv,gyroZconv,rollDeg,pitchDeg,rollRate,pitchRate,velo,velo_x,velo_y,velo_z,pos,pres,temp,baro_alt,baro_velo,gps_altitude_feet,gps_speed_kmh,gps_utc_time,gps_dec_longitude,gps_dec_latitude,gps_ns,gps_ew,gll,rms
1,1,0.0,0.014355687800411996,1.9762996871900513,9.876713206683453,-0.18310826276035708,-0.30518043793392846,0.18310826276035708,64,8128,32640,0,-0.0026845065876841545,0.01966261863708496,-0.008458137512207031,-0.05065976083278656,0.03191891312599182,0.08386407047510147,0.7853981852531433,-0.0002739292394835502,-0.0506821908056736,-0.036730773746967316,0.0,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7464453125,34.23750686645508,417.9513244628906,inf,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,1,0.128,0.009570458533607997,1.9571587701228352,9.891068894483865,0.12207217517357138,-0.36621652552071415,-0.06103608758678569,64,8128,32640,0,-0.007469736039638519,0.0005216598510742188,0.00589752197265625,-0.010376326739788055,-0.029117166996002197,0.03820810094475746,0.7853981852531433,-0.0007622177945449948,-0.010381226427853107,-0.047606151551008224,1.4054986238479614,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7503671875,34.24215316772461,417.5897521972656,-0.00245203566737473,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.256,0.02392614633401999,1.9762996871900513,9.867142748149845,-0.06103608758678569,-0.30518043793392846,0.06103608758678569,64,8128,32640,0,0.006885951384902,0.01966261863708496,-0.018029212951660156,0.07141241431236267,0.03191891312599182,-0.03820810094475746,0.7853981852531433,0.0007026479579508305,0.07140929251909256,0.04958728700876236,1.4035208225250244,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.752265625,34.24679946899414,417.4183044433594,-1.3394354581832886,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.384,0.02392614633401999,1.9571587701228352,9.905424582284276,-0.24414435034714277,-0.36621652552071415,0.0,64,8128,32640,0,0.006885951384902,0.0005216598510742188,0.02025318145751953,-0.11169584095478058,-0.029117166996002197,0.09924418479204178,0.7853981852531433,0.0007026479579508305,-0.11166100203990936,-0.09076517820358276,1.404437780380249,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.751234375,34.24215316772461,417.5091552734375,0.7097720503807068,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.512,0.02392614633401999,1.9810849164568554,9.900639353017473,0.30518043793392846,-0.36621652552071415,0.24414435034714277,64,8128,32640,0,0.006885951384902,0.02444779872894287,0.015467643737792969,0.1727319359779358,-0.029117166996002197,0.1449001431465149,0.7853981852531433,0.0007026479579508305,0.17278945446014404,-0.1230488121509552,1.4051560163497925,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7483515625,34.251441955566406,417.7914733886719,2.2056102752685547,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.64,0.004785229266803998,1.9475883115892274,9.876713206683453,-0.30518043793392846,-0.30518043793392846,0.18310826276035708,64,8128,32640,0,-0.012254965491592884,-0.009048700332641602,-0.008458137512207031,-0.1727319359779358,0.03191891312599182,0.08386407047510147,0.7853981852531433,-0.0012505059130489826,-0.17283432185649872,-0.036730773746967316,1.4056445360183716,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7495234375,34.251441955566406,417.68194580078125,-0.855684220790863,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.768,0.02392614633401999,1.9810849164568554,9.86235751888304,0.24414435034714277,-0.30518043793392846,0.12207217517357138,64,8128,32640,0,0.006885951384902,0.02444779872894287,-0.022813796997070312,0.11169584095478058,0.03191891312599182,0.022827982902526855,0.7853981852531433,0.0007026479579508305,0.11172304302453995,0.006428258493542671,1.4033316373825073,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.75010937500001,34.251441955566406,417.6271667480469,-0.4279613196849823,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,0.896,0.03828183413443199,1.8901655603875793,9.871927977416648,-1.0376134889753568,-0.36621652552071415,0.12207217517357138,64,8128,32640,0,0.02124164067208767,-0.06647145748138428,-0.013243675231933594,-0.905164897441864,-0.029117166996002197,0.022827982902526855,0.7853981852531433,0.00216751080006361,-0.9051745533943176,-0.03673076629638672,1.3996646404266357,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7506875,34.251441955566406,417.5723876953125,-0.4279613196849823,0.0,0.0,0.0,0.0,0.0,0,0,86,0
1,1,1.024,0.019140917067215994,1.9762996871900513,9.881498435950256,0.12207217517357138,-0.36621652552071415,0.12207217517357138,64,8128,32640,0,0.0021007228642702103,0.01966261863708496,-0.0036725997924804688,-0.010376326739788055,-0.029117166996002197,0.022827982902526855,0.7853981852531433,0.00021435947564896196,-0.010377280414104462,-0.03673076629638672,1.3993021249771118,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7503984375,34.251441955566406,417.5992736816406,0.21004675328731537,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1,1,1.152,0.03349660486762799,1.9810849164568554,9.857572289616236,0.06103608758678569,-0.36621652552071415,0.0,64,8128,32640,0,0.01645641215145588,0.02444779872894287,-0.027599334716796875,-0.07141241431236267,-0.029117166996002197,0.09924418479204178,0.7853981852531433,0.0016792240785434842,-0.07132914662361145,-0.09076517820358276,1.3956464529037476,-57001914368.0,3.8300804962549326e-21,-3.7677182223239873e-16,0.0,96.7499453125,34.24679946899414,417.6363525390625,0.28967857360839844,0.0,0.0,0.0,0.0,0.0,0,0,86,0
